no,factor,description,factor_type,data_type,remark
337,n_x_dpd_6,Number of times that a contract has overdue days > 0 day in last 6 months,Delinquency,Categorical,
338,n_x_dpd_3,Number of times that a contract has overdue days > 0 day in last 3 months,Delinquency,Categorical,
339,n_30_dpd_12,Number of times that a contract has overdue days > 30 days in last 12 months,Delinquency,Categorical,
340,n_30_dpd_9,Number of times that a contract has overdue days > 30 days in last 9 months,Delinquency,Categorical,
341,n_30_dpd_6,Number of times that a contract has overdue days > 30 days in last 6 months,Delinquency,Categorical,
342,n_30_dpd_3,Number of times that a contract has overdue days > 30 days in last 3 months,Delinquency,Categorical,
343,n_60_dpd_12,Number of times that a contract has overdue days > 60 days in last 12 months,Delinquency,Categorical,
344,n_60_dpd_9,Number of times that a contract has overdue days > 60 days in last 9 months,Delinquency,Categorical,
345,n_60_dpd_6,Number of times that a contract has overdue days > 60 days in last 6 months,Delinquency,Categorical,
346,n_60_dpd_3,Number of times that a contract has overdue days > 60 days in last 3 months,Delinquency,Categorical,
347,n_90_dpd_12,Number of times that a contract has overdue days > 90 days in last 12 months,Delinquency,Categorical,
348,n_90_dpd_9,Number of times that a contract has overdue days > 90 days in last 9 months,Delinquency,Categorical,
349,n_90_dpd_6,Number of times that a contract has overdue days > 90 days in last 6 months,Delinquency,Categorical,
350,n_90_dpd_3,Number of times that a contract has overdue days > 90 days in last 3 months,Delinquency,Categorical,
351,n_month_last_x,Number of months since last delinquency status as overdue days > 0 day,Delinquency,Categorical,
352,n_month_last_30,Number of months since last delinquency status as overdue days > 30 days,Delinquency,Categorical,
353,n_month_last_60,Number of months since last delinquency status as overdue days > 60 days,Delinquency,Categorical,
354,n_month_last_90,Number of months since last delinquency status as overdue days > 90 days,Delinquency,Categorical,
355,del_x_run_12,Longest run of consecutive months in which delinquency status as as overdue day > 0 days  over the last 12 months,Delinquency,Categorical,
356,del_x_run_9,Longest run of consecutive months in which delinquency status as as overdue day > 0 days  over the last 9 months,Delinquency,Categorical,
357,del_x_run_6,Longest run of consecutive months in which delinquency status as as overdue day > 0 days  over the last 6 months,Delinquency,Categorical,
358,del_x_run_3,Longest run of consecutive months in which delinquency status as as overdue day > 0 days  over the last 3 months,Delinquency,Categorical,
359,del_30_run_12,Longest run of consecutive months in which delinquency status as as overdue day > 30 days  over the last 12 months,Delinquency,Categorical,
360,del_30_run_9,Longest run of consecutive months in which delinquency status as as overdue day > 30 days  over the last 9 months,Delinquency,Categorical,
361,del_30_run_6,Longest run of consecutive months in which delinquency status as as overdue day > 30 days  over the last 6 months,Delinquency,Categorical,
362,del_30_run_3,Longest run of consecutive months in which delinquency status as as overdue day > 30 days  over the last 3 months,Delinquency,Categorical,
363,del_60_run_12,Longest run of consecutive months in which delinquency status as as overdue day > 60 days  over the last 12 months,Delinquency,Categorical,
364,del_60_run_9,Longest run of consecutive months in which delinquency status as as overdue day > 60 days  over the last 9 months,Delinquency,Categorical,
365,del_60_run_6,Longest run of consecutive months in which delinquency status as as overdue day > 60 days  over the last 6 months,Delinquency,Categorical,
366,del_60_run_3,Longest run of consecutive months in which delinquency status as as overdue day > 60 days  over the last 3 months,Delinquency,Categorical,
367,del_90_run_12,Longest run of consecutive months in which delinquency status as as overdue day > 90 days  over the last 12 months,Delinquency,Categorical,
368,del_90_run_9,Longest run of consecutive months in which delinquency status as as overdue day > 90 days  over the last 9 months,Delinquency,Categorical,
369,del_90_run_6,Longest run of consecutive months in which delinquency status as as overdue day > 90 days  over the last 6 months,Delinquency,Categorical,
370,del_90_run_3,Longest run of consecutive months in which delinquency status as as overdue day > 90 days  over the last 3 months,Delinquency,Categorical,
